transaction_id;timestamp;store_location;customer_id;product_name;category;quantity;unit_price_zar;payment_type;total_spend_zar
TXN1036;2026/03/04 08:30;PnP Waterfront;SS-882101;Wild Bean Cafe Cappuccino Large;Beverages;1;38;Card;38
TXN1037;2026/03/04 09:10;PnP Waterfront;SS-882101;Wild Bean Cafe Almond Croissant;Bakery;1;28.5;Card;28.5
TXN1038;2026/03/04 09:45;PnP Westville Junction;SS-302911;Doritos Nacho Cheese 145g;Snacks;2;21.99;Cash;43.98
TXN1039;2026/03/04 10:20;PnP Westville Junction;SS-302911;Stoney Ginger Beer 2L;Beverages;1;24.99;Cash;24.99
TXN1040;2026/03/04 11:00;PnP Sandton Nicol;SS-112093;Fresh Strawberries 250g;Produce;2;39.99;Card;79.98
TXN1041;2026/03/04 11:40;PnP Canal Walk;SS-402911;PnP Free Range Eggs 18s;Dairy;1;52.99;Card;52.99
TXN1042;2026/03/04 12:15;PnP Canal Walk;SS-402911;Parmalat Yoghurt 1kg;Dairy;1;36.99;Card;36.99
TXN1043;2026/03/04 12:50;PnP Observatory;SS-102938;Savanna Dry Cider 6x330ml;Liquor;1;104.99;Card;104.99
TXN1044;2026/03/04 13:20;PnP Observatory;SS-102938;PnP Charcoal Briquettes 4kg;Household;1;69.99;Card;69.99
TXN1045;2026/03/05 08:15;PnP Claremont;SS-440212;Albany Superior White Bread 700g;Bakery;1;18.99;Smart Shopper Pay;18.99
TXN1047;2026/03/05 09:00;PnP Sandton Nicol;SS-771204;Organic Milk 2L;Dairy;1;44.99;Card;44.99
TXN1048;2026/03/05 09:30;PnP Rosebank;SS-902311;Cadbury Dairy Milk 150g;Snacks;2;29.99;Cash;59.98
TXN1049;2026/03/05 10:10;PnP Waterfront;SS-551029;Energade Sports Drink 500ml;Beverages;3;16.99;Card;50.97
TXN1050;2026/03/05 10:45;PnP Canal Walk;SS-882101;Omo Auto Washing Powder 2kg;Household;1;89.99;Card;89.99
